"Year","AV","iteration_id"
2012,"6",28
2013,"10",28
2014,"2",28
2015,"9",28
2016,"4",28
2004,"8",29
2005,"16",29
2006,"14",29
2007,"14",29
2008,"2",29
2009,"10",29
2010,"11",29
2011,"8",29
2012,"11",29
2013,"11",29
2014,"4",29
2015,"16",29
2016,"12",29
2017,"5",29
1999,"7",30
2000,"16",30
2001,"10",30
2002,"11",30
2003,"10",30
2007,"12",30
2008,"3",30
2009,"9",30
2010,"7",30
2011,"9",30
2012,"13",30
2013,"1",30
2007,"4",31
2008,"1",31
2009,"14",31
2010,"2",31
2011,"4",31
2012,"9",31
2013,"2",31
2007,"9",32
2008,"9",32
2009,"8",32
2010,"9",32
2011,"8",32
2012,"12",32
2013,"7",32
2014,"6",32
2015,"7",32
2016,"5",32
2007,"1",33
2008,"7",33
2009,"6",33
2010,"12",33
2012,"12",33
2013,"10",33
2015,"5",33
2016,"10",33
2017,"8",33
2018,"8",33
2019,"6",33
2007,"4",34
2008,"8",34
2009,"15",34
2010,"7",34
2011,"5",34
2012,"7",34
2013,"2",34
2014,"6",34
2015,"3",34
2016,"2",34
2017,"1",34
2018,"1",34
2007,"5",35
2008,"8",35
2009,"9",35
2010,"8",35
2011,"9",35
2012,"10",35
2013,"8",35
2014,"8",35
2003,"3",36
2004,"8",36
2005,"7",36
2006,"8",36
2008,"8",36
2009,"9",36
2011,"8",36
2012,"8",36
2013,"8",36
2014,"7",36
2015,"4",36
2016,"7",36
2017,"6",36
2018,"Missed season - Retired",36
2019,"4",36
2020,"1",36
2005,"4",37
2006,"7",37
2007,"7",37
2008,"8",37
2009,"5",37
2010,"Missed season - Injured (knee)",37
2011,"1",37
2012,"6",37
2013,"10",37
2014,"7",37
2016,"11",37
2017,"8",37
2018,"5",37
2019,"7",37
2020,"1",37
2007,"6",38
2008,"5",38
2009,"18",38
2010,"9",38
2011,"9",38
2012,"8",38
2013,"7",38
2014,"8",38
2015,"10",38
2016,"7",38
2017,"3",38
2006,"6",39
2007,"7",39
2008,"8",39
2009,"5",39
2010,"8",39
2011,"6",39
2012,"6",39
2013,"6",39
2014,"2",39
2015,"0",39
2007,"4",40
2008,"6",40
2009,"5",40
2010,"6",40
2011,"2",40
2012,"4",40
2013,"4",40
2014,"1",40
2006,"1",41
2007,"5",41
2008,"4",41
2009,"5",41
2010,"8",41
2011,"4",41
2012,"4",41
2013,"2",41
2014,"1",41
2015,"2",41
2016,"1",41
2017,"3",41
2018,"0",41
2019,"1",41
2020,"1",41
2006,"8",42
2007,"8",42
2008,"5",42
2009,"6",42
2010,"9",42
2011,"6",42
2012,"7",42
2013,"7",42
2014,"6",42
2015,"6",42
2016,"0",42
2008,"2",43
2009,"11",43
2010,"9",43
2011,"11",43
2012,"12",43
2013,"14",43
2014,"15",43
2015,"12",43
2016,"7",43
2017,"5",43
2018,"0",43
2007,"5",44
2008,"2",44
2009,"5",44
2010,"8",44
2011,"11",44
2012,"10",44
2013,"9",44
2016,"9",44
2017,"1",44
2018,"13",44
2019,"15",44
2007,"0",45
2009,"4",45
2010,"8",45
2011,"9",45
2012,"8",45
2013,"9",45
2014,"5",45
2015,"6",45
2016,"8",45
2006,"1",46
2008,"6",46
2009,"6",46
2010,"6",46
2011,"7",46
2012,"11",46
2013,"9",46
2014,"9",46
2015,"6",46
2016,"1",46
2005,"1",48
2006,"2",48
2007,"6",48
2008,"2",48
2009,"1",48
2010,"6",48
2011,"5",48
2012,"3",48
2004,"3",49
2005,"6",49
2006,"4",49
2007,"7",49
2008,"1",49
2009,"6",49
2010,"5",49
2011,"8",49
2012,"6",49
2013,"8",49
2014,"5",49
2015,"4",49
2016,"1",49
2001,"6",50
2002,"10",50
2006,"16",50
2007,"4",50
2008,"8",50
2009,"6",50
2010,"8",50
2011,"10",50
2012,"3",50
2007,"2",51
2008,"7",51
2009,"7",51
2010,"2",51
2011,"3",51
2003,"1",52
2004,"13",52
2006,"9",52
2007,"10",52
2009,"3",52
2012,"4",52
2013,"9",52
2014,"3",52
2010,"0",53
2011,"3",53
2012,"2",53
2013,"1",53
2007,"1",54
2008,"1",54
2009,"6",54
2010,"5",54
2011,"4",54
2012,"3",54
2006,"1",55
2007,"8",55
2008,"8",55
2009,"9",55
2011,"0",55
2012,"5",55
2013,"5",55
2014,"5",55
2015,"3",55
2004,"8",56
2005,"2",56
2006,"2",56
2007,"0",56
2008,"2",56
2009,"1",56
2010,"10",56
2011,"13",56
2012,"6",56
2013,"6",56
2014,"3",56
2015,"0",56
2003,"1",57
2004,"1",57
2005,"6",57
2006,"6",57
2007,"8",57
2008,"7",57
2009,"7",57
2010,"7",57
2011,"8",57
2012,"6",57
2013,"6",57
2014,"1",57
2006,"6",58
2007,"5",58
2008,"1",58
2009,"7",58
2010,"6",58
2011,"8",58
2012,"6",58
2013,"6",58
2014,"5",58
2006,"0",59
2007,"1",59
2008,"1",59
2009,"2",59
2010,"4",59
2011,"7",59
2012,"6",59
2013,"4",59
2014,"2",59
2015,"2",59
2005,"2",60
2006,"1",60
2007,"3",60
2008,"5",60
2009,"7",60
2010,"7",60
2011,"6",60
2012,"9",60
2013,"1",60
2006,"6",61
2007,"8",61
2008,"9",61
2009,"11",61
2010,"9",61
2011,"7",61
2012,"5",61
2013,"7",61
2014,"7",61
2007,"2",62
2008,"10",62
2010,"5",62
2011,"2",62
2012,"1",62
2008,"7",63
2009,"4",63
2010,"6",63
2011,"4",63
2012,"7",63
2013,"1",63
2014,"1",63
2015,"0",63
2011,"1",64
2012,"1",64
2013,"0",64
2014,"0",64
2015,"2",64
2006,"2",65
2007,"6",65
2008,"9",65
2009,"8",65
2010,"7",65
2011,"8",65
2012,"3",65
2003,"1",66
2004,"1",66
2005,"1",66
2006,"1",66
2007,"5",66
2008,"15",66
2009,"8",66
2010,"12",66
2011,"7",66
2012,"6",66
2013,"5",66
2008,"1",67
2009,"3",67
2010,"8",67
2011,"9",67
2012,"6",67
2013,"6",67
2014,"5",67
2015,"8",67
2016,"7",67
2017,"1",67
2006,"5",69
2007,"4",69
2008,"8",69
2009,"9",69
2010,"10",69
2011,"9",69
2012,"10",69
2013,"7",69
2014,"2",69
2007,"6",70
2008,"6",70
2009,"7",70
2010,"5",70
2011,"8",70
2012,"9",70
2013,"9",70
2014,"3",70
2015,"7",70
2016,"4",70
2017,"7",70
2018,"5",70
2019,"6",70
2005,"2",71
2006,"4",71
2007,"1",71
2008,"6",71
2009,"7",71
2010,"5",71
2011,"6",71
2012,"5",71
2006,"2",72
2007,"7",72
2008,"6",72
2009,"7",72
2010,"10",72
2011,"7",72
2012,"5",72
2013,"6",72
2014,"7",72
2015,"5",72
2016,"2",72
2007,"3",73
2008,"5",73
2009,"5",73
2010,"4",73
2011,"5",73
2012,"7",73
2013,"8",73
2014,"8",73
2015,"13",73
2016,"8",73
2017,"2",73
2018,"3",73
2019,"4",73
2020,"2",73
2007,"2",74
2008,"10",74
2009,"6",74
2010,"5",74
2011,"5",74
2012,"0",74
2011,"19",75
2012,"16",75
2013,"16",75
2014,"12",75
2016,"11",75
2017,"15",75
2018,"14",75
2019,"1",75
2020,"13",75
2006,"2",76
2007,"1",76
2008,"1",76
2009,"5",76
2010,"8",76
2011,"6",76
2012,"5",76
2013,"6",76
2014,"0",76
2015,"1",76
2006,"3",77
2007,"7",77
2008,"8",77
2009,"5",77
2010,"5",77
2011,"6",77
2012,"6",77
2013,"1",77
2014,"5",77
2015,"3",77
2011,"11",78
2013,"5",78
2014,"11",78
2017,"12",78
2018,"13",78
2019,"11",78
2005,"1",79
2006,"2",79
2007,"2",79
2008,"3",79
2009,"4",79
2010,"9",79
2011,"9",79
2012,"9",79
2013,"7",79
2011,"6",80
2012,"6",80
2013,"11",80
2015,"8",80
2016,"3",80
2017,"3",80
2018,"7",80
2019,"2",80
2007,"1",81
2008,"4",81
2009,"3",81
2010,"2",81
2011,"9",81
2012,"7",81
2013,"7",81
2014,"6",81
2006,"2",82
2007,"3",82
2008,"5",82
2009,"7",82
2010,"7",82
2011,"7",82
2012,"10",82
2013,"7",82
2014,"7",82
2015,"7",82
2016,"11",82
2006,"6",83
2007,"5",83
2008,"3",83
2009,"4",83
2010,"6",83
2011,"5",83
2012,"7",83
2013,"2",83
2014,"3",83
1999,"0",84
2000,"0",84
2001,"7",84
2002,"11",84
2003,"15",84
2004,"11",84
2005,"15",84
2006,"8",84
2007,"11",84
2008,"0",84
2009,"7",84
2010,"8",84
2011,"9",84
2012,"3",84
2013,"0",84
2014,"1",84
2015,"4",84
2007,"3",85
2008,"10",85
2009,"6",85
2010,"10",85
2011,"9",85
2012,"6",85
2013,"9",85
2006,"0",86
2007,"3",86
2008,"9",86
2009,"2",86
2010,"7",86
2011,"6",86
2012,"8",86
2013,"4",86
2014,"2",86
2015,"3",86
2011,"10",87
2012,"13",87
2013,"13",87
2014,"9",87
2015,"13",87
2016,"7",87
2017,"10",87
2018,"6",87
2020,"4",87
2006,"7",88
2007,"9",88
2008,"3",88
2009,"7",88
2010,"8",88
2011,"7",88
2012,"10",88
2013,"8",88
2014,"12",88
2016,"10",88
2018,"11",88
2019,"8",88
2020,"4",88
2005,"4",90
2006,"16",90
2007,"9",90
2008,"10",90
2009,"12",90
2010,"8",90
2011,"10",90
2012,"10",90
2013,"9",90
2014,"7",90
2015,"7",90
2016,"10",90
2017,"8",90
2018,"5",90
2019,"4",90
2020,"4",90
2007,"1",91
2008,"1",91
2009,"1",91
2010,"8",91
2011,"6",91
2012,"0",91
2013,"1",91
2014,"0",91
2009,"5",92
2010,"11",92
2011,"4",92
2012,"2",92
2007,"1",94
2008,"3",94
2009,"7",94
2010,"10",94
2011,"7",94
2012,"11",94
2013,"2",94
2014,"5",94
2015,"1",94
2007,"1",95
2008,"1",95
2009,"6",95
2010,"6",95
2011,"4",95
2012,"8",95
2013,"2",95
2007,"6",96
2008,"7",96
2009,"4",96
2010,"7",96
2011,"8",96
2012,"0",96
2007,"2",97
2008,"9",97
2009,"8",97
2010,"5",97
2011,"7",97
2012,"3",97
2013,"7",97
2014,"7",97
2015,"9",97
2011,"10",98
2012,"13",98
2013,"5",98
2014,"14",98
2017,"14",98
2018,"14",98
2019,"11",98
2020,"6",98
2001,"4",99
2002,"17",99
2003,"4",99
2004,"15",99
2005,"13",99
2006,"15",99
2007,"Missed season - Violation of league personal conduct policy",99
2008,"Missed season - Violation of league personal conduct policy",99
2009,"1",99
2010,"14",99
2011,"12",99
2012,"7",99
2013,"5",99
2014,"2",99
2015,"2",99
2006,"0",100
2007,"0",100
2008,"8",100
2009,"6",100
2010,"8",100
2011,"4",100
2012,"6",100
2013,"4",100
2007,"1",101
2008,"4",101
2009,"5",101
2010,"5",101
2011,"3",101
2012,"0",101
2005,"6",102
2006,"6",102
2007,"6",102
2008,"7",102
2009,"7",102
2010,"3",102
2011,"3",102
2012,"3",102
2013,"1",102
2008,"2",103
2009,"3",103
2010,"2",103
2011,"3",103
2012,"1",103
2013,"4",103
2014,"5",103
2016,"9",103
2017,"4",103
2018,"2",103
2019,"1",103
2001,"0",104
2002,"7",104
2003,"11",104
2004,"8",104
2005,"13",104
2006,"8",104
2007,"7",104
2008,"10",104
2009,"7",104
2010,"7",104
2011,"4",104
2012,"6",104
2013,"3",104
2014,"1",104
2004,"8",105
2005,"8",105
2006,"2",105
2007,"7",105
2008,"6",105
2009,"2",105
2010,"6",105
2011,"4",105
2008,"0",106
2009,"7",106
2010,"5",106
2011,"3",106
2012,"3",106
2013,"2",106
2003,"1",107
2004,"3",107
2005,"4",107
2006,"5",107
2007,"5",107
2008,"4",107
2009,"5",107
2010,"5",107
2011,"5",107
2012,"2",107
2013,"3",107
2007,"3",108
2008,"2",108
2009,"2",108
2010,"3",108
2011,"3",108
2012,"0",108
2013,"4",108
2014,"3",108
2015,"4",108
2016,"3",108
2017,"2",108
2018,"3",108
2019,"5",108
2020,"5",108
2006,"1",109
2007,"3",109
2008,"2",109
2009,"3",109
2010,"4",109
2011,"3",109
2012,"3",109
2013,"1",109
2014,"0",109
2005,"3",111
2006,"2",111
2007,"4",111
2008,"2",111
2009,"0",111
2010,"0",111
2011,"1",111
2012,"0",111
2013,"0",111
2014,"0",111
2015,"0",111
2008,"0",112
2009,"7",112
2010,"8",112
2011,"7",112
2012,"1",112
2013,"9",112
2005,"1",113
2006,"4",113
2007,"2",113
2008,"2",113
2009,"3",113
2010,"6",113
2011,"1",113
2012,"1",113
2013,"1",113
2005,"1",114
2006,"Missed season - Injured (broken ankle)",114
2007,"4",114
2008,"8",114
2009,"10",114
2010,"7",114
2011,"12",114
2012,"7",114
2013,"8",114
2014,"6",114
2015,"6",114
2016,"6",114
2017,"1",114
2018,"2",114
2019,"1",114
2006,"14",115
2007,"14",115
2008,"7",115
2009,"10",115
2010,"5",115
2011,"3",115
2009,"4",116
2010,"2",116
2011,"3",116
2012,"3",116
2013,"2",116
2014,"3",116
2015,"4",116
2016,"5",116
2017,"3",116
2018,"3",116
2019,"-1",116
2020,"3",116
2007,"2",117
2008,"6",117
2009,"6",117
2010,"4",117
2011,"6",117
2012,"5",117
2013,"5",117
2014,"2",117
2015,"1",117
2007,"3",118
2008,"2",118
2009,"1",118
2010,"3",118
2011,"6",118
2012,"7",118
2013,"7",118
2014,"8",118
2015,"8",118
2016,"8",118
2017,"2",118
2008,"3",119
2009,"3",119
2010,"5",119
2011,"15",119
2012,"7",119
2013,"11",119
2014,"19",119
2016,"12",119
2017,"4",119
2018,"6",119
2006,"0",120
2007,"0",120
2008,"0",120
2009,"0",120
2010,"0",120
2011,"0",120
2012,"2",120
2013,"0",120
2014,"0",120
2006,"8",121
2007,"1",121
2008,"5",121
2009,"3",121
2010,"6",121
2011,"7",121
2012,"9",121
2013,"3",121
2014,"Missed season - Out of NFL",121
2015,"9",121
2016,"11",121
2017,"9",121
2019,"5",121
2020,"1",121
2004,"0",122
2005,"0",122
2006,"0",122
2008,"1",122
2009,"1",122
2010,"2",122
2011,"6",122
2012,"3",122
2008,"3",123
2009,"1",123
2010,"2",123
2012,"3",123
2013,"0",123
2014,"1",123
1997,"4",124
1998,"6",124
2002,"9",124
2004,"12",124
2005,"9",124
2006,"9",124
2007,"8",124
2009,"9",124
2010,"8",124
2011,"8",124
2013,"7",124
2011,"2",125
2012,"6",125
2013,"5",125
2014,"3",125
2006,"2",126
2007,"2",126
2008,"3",126
2009,"2",126
2010,"2",126
2011,"3",126
2012,"3",126
2013,"2",126
2014,"3",126
2015,"3",126
2016,"2",126
2017,"2",126
2018,"3",126
2019,"2",126
2020,"2",126
2006,"7",127
2007,"7",127
2009,"3",127
2010,"4",127
2011,"2",127
2012,"2",127
2013,"0",127
2014,"1",127
2011,"9",128
2012,"8",128
2013,"14",128
2015,"10",128
2017,"9",128
2018,"7",128
2019,"9",128
2020,"1",128
2006,"9",129
2007,"7",129
2008,"17",129
2009,"12",129
2012,"13",129
2013,"11",129
2014,"6",129
2015,"5",129
2016,"5",129
2017,"2",129
2018,"4",129
2007,"0",130
2008,"1",130
2009,"3",130
2010,"7",130
2011,"9",130
2012,"8",130
2013,"6",130
2014,"6",130
2015,"5",130
2016,"1",130
2001,"7",131
2002,"9",131
2003,"8",131
2004,"10",131
2005,"2",131
2006,"13",131
2008,"10",131
2009,"7",131
2010,"14",131
2011,"9",131
2011,"4",132
2012,"3",132
2013,"1",132
2014,"0",132
2015,"5",132
2016,"0",132
2017,"2",132
2018,"2",132
2020,"1",132
2001,"2",135
2002,"9",135
2003,"14",135
2004,"11",135
2007,"14",135
2008,"4",135
2009,"9",135
2010,"7",135
2011,"3",135
2006,"6",136
2007,"5",136
2008,"5",136
2009,"4",136
2010,"4",136
2011,"6",136
2012,"6",136
2013,"6",136
2014,"9",136
2015,"4",136
2016,"3",136
2003,"9",137
2004,"7",137
2005,"9",137
2006,"7",137
2007,"13",137
2008,"3",137
2009,"7",137
2010,"2",137
2011,"7",137
2012,"6",137
2013,"1",137
2005,"1",138
2006,"7",138
2007,"7",138
2008,"13",138
2009,"14",138
2010,"3",138
2011,"12",138
2012,"12",138
2013,"10",138
2014,"7",138
2015,"5",138
2016,"1",138
2006,"8",139
2007,"6",139
2008,"7",139
2009,"6",139
2010,"6",139
2011,"6",139
2012,"6",139
2013,"2",139
2014,"5",139
2011,"10",140
2016,"2",140
2017,"2",140
2019,"4",140
2020,"7",140
2007,"3",141
2008,"7",141
2009,"9",141
2010,"4",141
2011,"8",141
2012,"6",141
2013,"9",141
2014,"5",141
2015,"1",141
2004,"0",142
2005,"0",142
2006,"1",142
2007,"1",142
2008,"1",142
2009,"1",142
2013,"0",142
2002,"1",143
2003,"1",143
2004,"2",143
2005,"4",143
2006,"1",143
2007,"2",143
2008,"9",143
2009,"12",143
2010,"8",143
2011,"8",143
2012,"8",143
2013,"8",143
2014,"8",143
2007,"1",145
2008,"6",145
2009,"9",145
2010,"6",145
2011,"14",145
2012,"3",145
2014,"7",145
2016,"3",145
2017,"3",145
2018,"8",145
2019,"2",145
2001,"5",146
2002,"7",146
2003,"8",146
2004,"13",146
2005,"6",146
2006,"8",146
2007,"6",146
2008,"5",146
2009,"3",146
2010,"6",146
2011,"7",146
2012,"4",146
2005,"7",147
2007,"12",147
2008,"0",147
2009,"6",147
2010,"1",147
2011,"2",147
2012,"1",147
2007,"1",148
2008,"3",148
2009,"5",148
2010,"6",148
2011,"6",148
2013,"4",148
2014,"2",148
2015,"0",148
2007,"1",149
2008,"5",149
2009,"4",149
2010,"1",149
2011,"1",149
2001,"2",150
2002,"9",150
2003,"14",150
2004,"11",150
2007,"14",150
2008,"4",150
2009,"9",150
2010,"7",150
2011,"3",150
2011,"5",152
2012,"12",152
2013,"6",152
2014,"1",152
2005,"9",153
2006,"10",153
2007,"17",153
2008,"10",153
2009,"16",153
2011,"15",153
2012,"11",153
2013,"14",153
2014,"6",153
2015,"9",153
2007,"1",154
2008,"12",154
2009,"14",154
2010,"11",154
2011,"7",154
2012,"7",154
2013,"5",154
2014,"2",154
2015,"2",154
2007,"9",155
2008,"9",155
2009,"8",155
2010,"9",155
2011,"8",155
2012,"12",155
2013,"7",155
2014,"6",155
2015,"7",155
2016,"5",155
2007,"6",156
2008,"5",156
2009,"18",156
2010,"9",156
2011,"9",156
2012,"8",156
2013,"7",156
2014,"8",156
2015,"10",156
2016,"7",156
2017,"3",156
2006,"4",157
2007,"8",157
2008,"7",157
2009,"5",157
2010,"4",157
2011,"6",157
2012,"1",157
2013,"5",157
2007,"2",158
2008,"1",158
2009,"1",158
2010,"2",158
2011,"2",158
2012,"1",158
2013,"0",158
2006,"5",159
2007,"4",159
2008,"9",159
2009,"4",159
2010,"1",159
2011,"7",159
2012,"3",159
2013,"6",159
2014,"5",159
2011,"1",160
2012,"4",160
2013,"8",160
2014,"3",160
2015,"2",160
2016,"6",160
2007,"0",161
2008,"0",161
2009,"9",161
2010,"8",161
2011,"13",161
2012,"11",161
2013,"9",161
2014,"6",161
2015,"3",161
2016,"7",161
2017,"4",161
2018,"4",161
2006,"12",162
2007,"8",162
2008,"10",162
2009,"6",162
2010,"3",162
2011,"10",162
2012,"8",162
2013,"10",162
2014,"4",162
2015,"0",162
2016,"1",162
2007,"1",163
2008,"3",163
2009,"5",163
2010,"6",163
2011,"6",163
2013,"4",163
2014,"2",163
2015,"0",163
2004,"10",164
2005,"11",164
2006,"7",164
2007,"8",164
2008,"7",164
2009,"5",164
2010,"3",164
2011,"7",164
2012,"7",164
2013,"2",164
1998,"5",165
1999,"6",165
2000,"8",165
2001,"8",165
2002,"7",165
2003,"12",165
2005,"1",165
2006,"5",165
2007,"7",165
2008,"7",165
2009,"9",165
2010,"8",165
2011,"6",165
2012,"6",165
2011,"2",166
2012,"7",166
2014,"11",166
2015,"4",166
2016,"4",166
2017,"7",166
2018,"6",166
2019,"8",166
2020,"6",166
2006,"6",167
2007,"8",167
2009,"2",167
2010,"1",167
2011,"8",167
2012,"3",167
2013,"7",167
2014,"7",167
2015,"6",167
2011,"8",168
2012,"7",168
2013,"8",168
2014,"9",168
2015,"8",168
2016,"2",168
2017,"6",168
2018,"11",168
2019,"2",168
2006,"0",169
2007,"1",169
2008,"6",169
2009,"5",169
2010,"2",169
2011,"1",169
2012,"0",169
2005,"1",170
2006,"4",170
2007,"1",170
2008,"5",170
2009,"2",170
2010,"2",170
2011,"2",170
2013,"0",170
2007,"0",173
2008,"9",173
2009,"0",173
2010,"1",173
2011,"0",173
2012,"0",173
2007,"0",174
2008,"0",174
2009,"6",174
2010,"6",174
2011,"4",174
2005,"0",175
2007,"4",175
2008,"2",175
2009,"6",175
2010,"1",175
2011,"5",175
2012,"4",175
2013,"2",175
2014,"4",175
2004,"1",176
2005,"6",176
2006,"4",176
2007,"4",176
2008,"9",176
2009,"7",176
2010,"6",176
2011,"4",176
2012,"5",176
2011,"7",177
2012,"10",177
2013,"7",177
2014,"8",177
2015,"7",177
2016,"9",177
2017,"11",177
2018,"9",177
2019,"5",177
2020,"3",177
2002,"3",178
2003,"6",178
2004,"4",178
2005,"5",178
2006,"3",178
2009,"6",178
2010,"1",178
2011,"2",178
2011,"8",179
2012,"11",179
2013,"8",179
2014,"9",179
2015,"3",179
2016,"8",179
2017,"9",179
2018,"8",179
2019,"8",179
2002,"1",180
2003,"4",180
2004,"4",180
2005,"2",180
2006,"3",180
2007,"2",180
2008,"3",180
2009,"2",180
2010,"1",180
2011,"0",180
2012,"0",180
2009,"1",181
2010,"2",181
2011,"2",181
2012,"0",181
2011,"4",182
2012,"7",182
2013,"7",182
2014,"8",182
2015,"5",182
2016,"6",182
2017,"6",182
2018,"2",182
2019,"0",182
2020,"1",182
2001,"1",183
2002,"6",183
2003,"1",183
2004,"2",183
2005,"1",183
2006,"7",183
2007,"7",183
2008,"1",183
2009,"6",183
2010,"7",183
2012,"4",183
2011,"5",184
2012,"1",184
2013,"7",184
2014,"0",184
2015,"3",184
2016,"4",184
2017,"4",184
2018,"2",184
2019,"2",184
2020,"2",184
2011,"1",185
2012,"4",185
2013,"7",185
2014,"3",185
2015,"4",185
2016,"5",185
2017,"5",185
2018,"6",185
2019,"6",185
2011,"8",186
2012,"4",186
2013,"6",186
2014,"2",186
2011,"4",187
2012,"7",187
2013,"9",187
2014,"9",187
2015,"5",187
2016,"10",187
2017,"6",187
2018,"5",187
2019,"7",187
2020,"6",187
2002,"7",188
2003,"7",188
2004,"14",188
2005,"9",188
2006,"15",188
2007,"7",188
2008,"6",188
2009,"6",188
2010,"2",188
2011,"2",188
2003,"3",189
2004,"7",189
2005,"7",189
2006,"11",189
2007,"8",189
2008,"7",189
2009,"7",189
2010,"0",189
2012,"0",189
2006,"1",190
2007,"7",190
2008,"4",190
2009,"1",190
2010,"1",190
2011,"10",190
2013,"1",190
2014,"0",190
2015,"0",190
2011,"6",191
2012,"3",191
2013,"0",191
2011,"7",192
2012,"7",192
2013,"13",192
2014,"7",192
2015,"8",192
2016,"6",192
2018,"12",192
2019,"13",192
2020,"12",192
2011,"3",193
2012,"4",193
2013,"6",193
2014,"8",193
2015,"8",193
2016,"6",193
2017,"7",193
2018,"4",193
2019,"6",193
2020,"6",193
2006,"0",194
2007,"0",194
2008,"0",194
2009,"1",194
2010,"3",194
2011,"2",194
2012,"2",194
2013,"1",194
2015,"1",194
2016,"1",194
2017,"0",194
2011,"2",195
